query,intent
Help with baggage policy,general
does Nantucket have a shuttle,general
change fee amount for my flight,general
allowed luggage on Southwest ?,general
will I need to pass through security for my connecting flight?,general
does my flight have wheelchair access,general
Can you get VX's bag policy?,general
What's the customer service number?,general
When will my found bag arrive,general
Could you help with luggage requirements,general
hotels near SNA,general
explain the bag policy,general
allowed bag weights in pounds,general
contact customer service,general
What is a personal item?,general
Does YV have free wifi?,general
how much is it to change flights?,general
where are lost suitcases sent,general
how heavy can my carry on be?,general
Does OO have free wifi?,general
what is the leg room like on YV ?,general
Do United flights offer wifi,general
What bags does UA allow?,general
how much is it to change flights?,general
how many delays have my flight had this year?,general
What floor is the bag carousel at?,general
Can you explain Frontier's baggage policy?,general
where are lost suitcases sent,general
can I bring 3 suitcases,general
Do ExpressJet flights offer wifi,general
where do I put my stroller when boarding,general
What movies does UA show,general
Can you explain Endeavor's baggage policy?,general
What is FL's domestic bag policy,general
Where is the EV ticket counter?,general
How do I contact customer service?,general
will I be able to eat on board,general
how many seats on this plane,general
taxi pickup at TBN,general
do I need my pnr to check in?,general
bag dimensions,general
where is ExpressJet's terminal,general
Are carryons free on US ?,general
What luggage can I bring on the plane?,general
how large can carry-ons be,general
What is DL's domestic bag policy,general
Does HA offer drinks on board?,general
how long is the trip to Birmingham ?,general
Does my flight have many delays?,general
Does AA serve Dr Pepper?,general
is there food on my flight?,general
how many delays has this flight had?,general
does WS have reserved seats now?,general
can I upgrade my seat?,general
how much more for an exit row seat?,general
does my seat recline?,general
when does boarding start?,general
