query,intent
"I didn't realize CC 9999_ was delayed, how did it happen?",general
Do you know why CC + 9999_ was late?,general
Where is the Capcxr1 agent?,general
can I use a self-service kiosk for my CC flight?,general
why does Capcxr1 have so many kiosks now?,general
I can't get the CC kiosk to work,general
I'm having trouble checking in for my Capcxr1 flight. Who should I contact?,general
When will the CC agents arrive?,general
I have to ask general questions for fine-tuning,general
Does Capcxr1 have its own ticket counter?,general
Why are 737s so popular with the airlines?,general
How many flights a year does Capcxr1 make to airptNm1 ?,general
I wish I could fly to airptNm2 once a month,general
So many places have interesting things to see,general
"Why do they charge for extra bag weight for a skinny person, but a heavy person doesn't pay extra?",general
"airptNm1 has gotten too popular, so now I travel to airptNm2 instead",general
How does Santa fit down the chimney?,general
Kids should fly free if they stay quiet.,general
Most of CC 's flights are nonstop,general
Capcxr1 's flights are usually on time,general
I don't know when I can go to airptNm1,general
too many people bring food on the plane,general
You should drink a lot of water when flying,general
Which carrier has the best in-flight safety presentation?,general
cotton candy is messy,general
who won the game last night?,general
Can I bring my pet on CC flight 9999_ ?,general
does Capcxr1 allow pets on board?,general
does CC allow pets,general
what airlines permit travel with pets?,general
I want to bring my dog to airptNm1 . Will CC allow it?,general
I'm bringing my cat to airptNm2 if it's permitted. Do you know Capcxr1 's pet policy?,general
Why are flights to airptNm1 so expensive right now?,general
airptNm2 flights are so cheap right now.,general
I like Capcxr1 's new 787s!,general
Capcxr1 is the best airline,general
CC is the worst airline. I never fly with them.,general
I never fly on Capcxr1 .,general
Around the world in 80 days is a good book.,general
Have you seen the new CSI?,general
I like the exit rows on Capcxr1,general
how many flights a day from airptCd1 to airptCd2 ?,general
How many flights are there from airptNm1 to airptNm2 ?,general
What is my question?,general
what was your question?,general
I have a question about cancellations,general
What happens if I cancel my flight?,general
How long does it take Capcxr1 to refund my flight?,general
The best is saved for last.,general
I like jazz. What music do you like?,general
In-flight entertainment has become pretty good,general
What is CC 's in-flight entertainment options?,general
Can I bring my laptop on Capcxr1 flights?,general
Can I watch videos on my phone on CC flights?,general
Can I text during CC flights?,general
Can I make calls during Capcxr1 flights?,general
how many more questions do I need?,general
twenty or so will do,general
dogs are nicer than cats,general
cats are softer than dogs,general
People can be dumb sometimes.,general
I'm tired of airport food. Does airptNm1 have any restaurants nearby?,general
Is public transportation available from airptNm2 ?,general
what kind of public transportation is available at airptNm1 ?,general
I wonder what movie CC is showing on this flight,general
What movie is CC featuring on this flight?,general
Take your time when opening the overhead bins.,general
An apple a day keeps what away?,general
do flight attendants stay at nice hotels during layovers?,general
where do pilots stay during layovers?,general
I like the Marriott at airptNm1,general
"We're close to the end, do you know what time it is?",general
we're about to land. I can't wait!,general
First one off carrys the bags,general
How spicy is Cholula hot sauce?,general
What is your favorite fruit?,general
"Do not go gentle into that good night. Fly, fly against the dying of the light."general
